INSTERA,UT_start_date,UT_end_date,Comments
0.5,2000-01-01 00:00:00,2022-11-09 00:00:00,Before First Light (engineering)
1.0,2022-11-09 00:00:01,2024-02-03 00:00:00,First science era: First Light to Service Mission #1
1.5,2024-02-03 00:00:01,2024-02-11 00:00:00,Service Mission #1 (engineering): Green camera focus; reformatter and wide-flat fiber alignment
2.0,2024-02-23 12:00:01,2024-11-01 00:00:00,Second science era: after Service Mission #1
2.5,2024-11-01 12:00:01,2025-01-01 00:00:00,Service Mission #2 (engineering): Green CCR and thermal enclosure installation
2.6,2025-01-01 12:00:01,2025-03-28 23:00:00,After a full Green-side warmup following a CCR pressure issue
2.7,2025-03-28 23:00:01,2025-04-23 00:22:00,Service Mission #3 (engineering): Red CCR installation and electrical-noise mitigation
3.0,2025-04-23 00:22:01,2025-08-29 20:30:00,Third science era: after Service Mission #3
3.5,2025-08-29 20:30:01,2025-10-30 00:00:00,Service Mission #4 (engineering): Green CCR repair and read-noise mitigation
4.0,2025-10-30 00:00:01,2040-01-01 00:00:00,After Service Mission #4 and a full Green-side warmup
